objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,identifier,cabinet,drawer,box,bag,type_point,material,material_source,length_mm,width_mm,thickness_mm,weight_g,count,source,language,rights,rightsstatement,student_initials,GGOI,original_format,type,format,object_comments,group,display_template,object_location,image_small,image_thumb,extension,box_num,folder_num,archival_item,id_num,multiple_num,last,matching_objects
1,,LibLab Bear,AF,2024,,yes,,,Bear,,,,,,,,,,,,1,,,,,AF,,,InteractiveResource;3DObject,,,model,3d_model,/Images/bear.png,/Images/bear.png,/Images/bear.png,jpg,,,,,,,
2,1,,,2024,,,,,Bear,,,,,,,Emily,,,,,,,,,,,,,InteractiveResource;3DObject,model/mtl,,artifact,3d_model_child,/Models/bear.glb,,,glb,,,,,,,
3,1,,,2024,,,,,Bear,,,,,,,,,,,,,,,,,,,,InteractiveResource;3DObject,model/obj,,artifact,3d_model_child,/Models/bear.glb,,,glb,,,,,,,
4,1,,,2024,,,,,Bear,,,,,,,,,,,,,,,,,,,,InteractiveResource;3DObject,model/stl,,artifact,3d_model_child,/Models/bear.glb,,,glb,,,,,,,
5,1,,,2024,,,,,Bear,,,,,,,,,,,,,,,,,,,,InteractiveResource;3DObject,model/x3d,,artifact,3d_model_child,/Models/bear.glb,,,glb,,,,,,,
6,1,,AF,2024,,,,,Bear,,,,,,,,,,,,1,,,,,AF,,,Image;StillImage,image/jpeg,,multiple,artifact_image,/Images/bear.png,/Images/bear.png,/Images/bear.png,png,,,,,,,
7,1,,AF,2024,,,,,Bear,,,,,,,,,,,,1,,,,,AF,,,Image;StillImage,image/jpeg,,artifact,,/Images/bear.png,/Images/bear.png,/Images/bear.png,png,,,,,,,
8,,"Peace Key from Reading, Pennsylvania",Do Ryu,2025,,,,,,,,,,,,,,,,,1,,,,,DY,,,Image;StillImage,image/jpeg,,multiple,artifact_image,/Images/Reading_CCFront.png,/Images/Reading_CCFront.png,/Images/Reading_CCFront.png,png,,,,,,,
9,8,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,artifact,,/Images/Reading_CCBack.png,/Images/Reading_CCBack.png,/Images/Reading_CCBack.png,png,,,,,,,
10,,"Peace Key from Elkhart, Indiana",Eve Umutoni,2025,,,,,,,,,,,,,,,,,1,,,,,EU ,,,Image;StillImage,image/jpeg,,multiple,artifact_image,/Images/Elkhart_CCFront.png,/Images/Elkhart_CCFront.png,/Images/Elkhart_CCFront.png,png,,,,,,,
11,10,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,artifact,,/Images/Elkhart_CCBack.png,/Images/Elkhart_CCBack.png,/Images/Elkhart_CCBack.png,png ,,,,,,,
12,,"Peace Key from Perrysburg, Ohio",RR,2025,,,,,,,,,,,,,,,,,1,,,,,RR,,,Image;StillImage,image/jpeg,,multiple,artifact_image,/Images/Perrysburg_CCFront.png,/Images/Perrysburg_CCFront.png,/Images/Perrysburg_CCFront.png,png,,,,,,,
13,12,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,artifact,,/Images/Perrysburg_CCBack.png,/Images/Perrysburg_CCBack.png,/Images/Perrysburg_CCBack.png,png,,,,,,,
14,,"Peace Key from Ann Arbor, Michigan",Do Ryu,2025,,,,,,,,,,,,,,,,,1,,,,,DY,,,Image;StillImage,image/jpeg,,multiple,artifact_image,/Images/Reading_CCFront.png,/Images/Reading_CCFront.png,/Images/Reading_CCFront.png,png,,,,,,,
15,14,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,artifact,,/Images/Reading_CCFront.png,/Images/Reading_CCFront.png,/Images/Reading_CCFront.png,png,,,,,,,
16,,"""Liberty"" Printing Block",DR,,,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,artifact,artifact_image,,,,png,,,,,,,
17,,Iraq War Protest Bus (Front),DR,,,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,artifact,artifact_image,,,,png,,,,,,,
18,17,Iraq War Protest Bus (Back),,,,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,artifact,,,,,png,,,,,,,
19,,Peace Key (Wooden),DR,,,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,artifact,artifact_image,,,,png,,,,,,,
